number,theme,bucket,repro_type,verdict,evidence_summary,repro_test_path,recommended_pass1,recommended_pass2_labels,verdict_source,notes
675,robotframework,feature-request,feature,REPRODUCED-on-dev,cumulusci/tasks/robotframework/robotframework.py does not configure traceback logging; rg 'traceback|format_exc|format_tb' in cumulusci/robotframework returns 0 matches. Default robot output shows only the exception's str(); full Python tracebacks require --loglevel TRACE or a custom listener which cumulusci does not provide.,,closed:stale-24mo,"cli-usability,robotframework,stale",dev,"Issue from 2018-07, last activity 2018-09, no activity for ~8 years. Two pragmatic workarounds exist today: (1) users can pass options=loglevel:TRACE to the robot task; (2) python keywords can wrap with traceback.format_exc() and log themselves. Workarounds make this low-priority. Close as stale."
710,scratch-org-config,feature,unit-pytest,REPRODUCED-on-dev,"The four+ default scratch org configs in cumulusci/cumulusci.yml:1559 cannot be disabled by a project. `merge_config` (cumulusci/core/utils.py:158, via dictmerge) drops ``None`` overrides, and BaseProjectKeychain._load_scratch_orgs (cumulusci/core/keychain/base_project_keychain.py:149) iterates every key unconditionally. Two XFAIL assertions added showing the issue's proposed `config_file: None` syntax has no effect today.",cumulusci/tests/triage/test_issue_710.py,keep-open,"enhancement,needs-spec",dev,"API question: should disabling use `config_file: None`, an explicit `disabled: true` flag, or sentinel removal? Tests assert end-state (`dev not in keychain.orgs`) so any of those implementations would pass."
733,cli,A,feature,REPRODUCED-on-v4.10.0,runtime.py:131-133 still raises ClickException with same hard error message; no interactive prompt path,,closed:stale-24mo,"enhancement,cli-usability,stale",v4.10.0,Stale 7yr feature request; confirm dry-run proposal stands
773,docs,feature-with-doc-component,doc-gap,REPRODUCED-on-dev,"cdcarter (2018) asked for tasks to declare ``return_values``/``result`` and for ``cci task info`` plus the web docs to surface them. On dev (1925a3083), ``BaseTask`` (``cumulusci/core/tasks.py:51``) only declares ``return_values`` as a runtime dict (line 64, populated as ``self.return_values = {}`` at line 92) — no declarative schema attribute. ``doc_task()`` in ``cumulusci/utils/__init__.py:354`` walks ``task_options`` and a free-form ``task_docs`` string but emits no ""Return Values"" / ""Returns"" section. The docs themselves admit the gap: ``docs/config.md:740-744`` literally says ""Current task return values are _not_ documented, so finding return values set by a specific task (if any) requires you to read the source code"". 8 years stale but still 100% accurate.",/tmp/repro/17/tests/test_issue_773.py,keep-open,"area/docs,area/tasks,type/enhancement",dev,"Pass-2: still actionable. Fix sketch: add a class attr like ``return_values_schema: Dict[str, str]`` (key -> one-line description) on BaseTask, extend ``doc_task`` to render a ""Return Values"" RST section when the attr is non-empty, and backfill the common return-value-emitting tasks (PackageUpload, GithubRelease, PromotePackageVersion, etc.). Same convention can power web docs since web docs use the same ``doc_task``."
808,metadata-etl,B,bug,REPRODUCED-on-dev,UninstallPackaged._init_options (cumulusci/tasks/salesforce/UninstallPackaged.py:25) defaults the 'package' option to project__package__name only; project__package__name_managed is never consulted (compare InstallPackageVersion which does fall back through name_managed -> name -> namespace at install_package_version.py:75-79). uninstall_packaged_incremental therefore retrieves the wrong package when name_managed is set,,keep-open,"bug,good-first-issue",dev,"Static-analysis confirmation; live repro needs a packaging org with a managed package whose name differs from project__package__name. Minimal fix: in UninstallPackaged._init_options, do `self.project_config.project__package__name_managed or self.project_config.project__package__name`. Also revisit jlantz's 2018 follow-up about deprecating name_managed entirely.; Task 4 reverify: bug still present on origin/dev@1925a3083 (only commit touching root-cause file since v4.10.0 was ruff refactor 3d620762d)."
987,robotframework,user-error-or-stale,bug,NOT-REPRODUCED-on-dev,"Issue is Spring 19 Salesforce + Chromedriver 2.46 + Selenium ~3.x shadow-DOM-specific. Reporter explicitly stated workaround works (""I figured out a work-around. Use firefox with geckodriver. Everything works as intended now."") and the underlying Chrome/Selenium/Salesforce stack has changed substantially. cumulusci/robotframework/Salesforce.py:154 click_object_button still uses _jsclick but the upstream shadow-DOM bug it depends on no longer manifests the same way.",,closed:stale-24mo,"stale,user-error",dev,"Reporter found workaround within days; last meaningful activity 2022-06. Spring 19 UI no longer exists. 7 years stale, ineligible for repro without specific reproducible scenario."
1348,cli,A,feature,REPRODUCED-on-v4.10.0,No 'gitlab' or 'bitbucket' references anywhere in cumulusci/; ci_feature flow still uses github_parent_pr_notes/github_automerge_feature tasks,,closed:stale-24mo,"enhancement,stale,wontfix-candidate",v4.10.0,Architectural change scoped to GitHub only; stale 6yr
1350,cli,A,bug,NOT-REPRODUCED-on-v4.10.0,project_config.py:52-57 sets up synthetic 'tasks' namespace package; include_source() at line 662 calls _add_tasks_directory_to_python_path() which extends tasks.__path__ for each loaded source,,closed:not-reproducible-on-v4.10.0,fixed,v4.10.0,Original ModuleNotFoundError fixed via tasks namespace package; collision concern raised in 2022 comments is separate
1432,cli,A,bug,REPRODUCED-on-v4.10.0,core/tasks.py:186-196 _validate_options() only checks required; old-style task_options dict path silently accepts unknown keys (test passed). Pydantic Options class path now rejects extras.,/tmp/repro/7/tests/test_1432_options_validation.py,closed:stale-24mo,"bug,stale,partially-fixed",v4.10.0,Partially mitigated for tasks using new Pydantic Options class; old task_options dict still vulnerable
1769,bulkdata,A,bug,REPRODUCED-on-v4.10.0,"Test code-smell: `lookups[""Id""] = MappingLookup(name=""Id"", table=""accounts"", key_field=""sf_id"")` pattern still present in test_load.py:736 (was line 352 in 2020). davidmreed acknowledged ""horrible hack"" but never refactored. Pattern repeats at lines 754, 773, 801. Used to express UPDATE-on-Id dependency in `_expand_mapping` after_steps fixtures.",,closed:stale-24mo,"test-cleanup,low-priority",v4.10.0,"Issue is a test-fixture style question, never escalated to bug. 6 yrs old."
